"indicateur","libellés","villes","Unit","Date","Value"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M6","27"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M7","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M8","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M9","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M10","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M11","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M12","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M1","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M3","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M4","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M5","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M6","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M7","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2013M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M1","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M2","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M3","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M5","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M8","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M11","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2014M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M1","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M3","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M4","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M10","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M11","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2015M12","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M1","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M6","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M7","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M10","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2016M12","34"
